"filename", "language", "Python", "pip requirements", "Markdown", "Shell Script", "JSON", "XML", "TypeScript", "JavaScript", "TypeScript JSX", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"/home/davidg/Developer/projects/coloring-book-gen2/backend/services/wordpress_publish.py", "Python", 445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 89, 564
"/home/davidg/Developer/projects/coloring-book-gen2/docs/README.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/davidg/Developer/projects/coloring-book-gen2/docs/architecture.md", "Markdown", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 100
"/home/davidg/Developer/projects/coloring-book-gen2/docs/data-model.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 118
"/home/davidg/Developer/projects/coloring-book-gen2/docs/decision-log.md", "Markdown", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 116
"/home/davidg/Developer/projects/coloring-book-gen2/docs/environment-deployment.md", "Markdown", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 86
"/home/davidg/Developer/projects/coloring-book-gen2/docs/generation-publishing.md", "Markdown", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 98
"/home/davidg/Developer/projects/coloring-book-gen2/docs/ideas-backlog.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/home/davidg/Developer/projects/coloring-book-gen2/docs/seo-pipeline.md", "Markdown", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 97
"/home/davidg/Developer/projects/coloring-book-gen2/docs/wordpress-integration.md", "Markdown", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 142
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/AGENTS.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/CLAUDE.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/books/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 198, 0, 0, 0, 16, 214
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/books/[id]/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/books/new/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 13, 155
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/books/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 4, 78
