"filename", "language", "Markdown", "Python", "pip requirements", "XML", "JavaScript", "TypeScript", "Shell Script", "JSON with Comments", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/davidg/Developer/projects/coloring-book-gen2/docs/decision-log.md", "Markdown", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 128
"/home/davidg/Developer/projects/coloring-book-gen2/docs/environment-deployment.md", "Markdown", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 86
"/home/davidg/Developer/projects/coloring-book-gen2/docs/generation-publishing.md", "Markdown", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 98
"/home/davidg/Developer/projects/coloring-book-gen2/docs/ideas-backlog.md", "Markdown", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"/home/davidg/Developer/projects/coloring-book-gen2/docs/seo-pipeline.md", "Markdown", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 97
"/home/davidg/Developer/projects/coloring-book-gen2/docs/wordpress-integration.md", "Markdown", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 142
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/AGENTS.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/CLAUDE.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/account/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 373, 0, 0, 21, 394
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/books/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 313, 0, 1, 25, 339
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/books/[id]/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/books/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/categories/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 0, 6, 14, 251
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/categories/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 6, 76
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/settings/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 265, 0, 0, 21, 286
