"filename", "language", "Markdown", "Python", "TypeScript", "JSON", "TypeScript JSX", "comment", "blank", "total"
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/LanguageSequencePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 448, 2, 24, 474
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/NewBookModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 133, 0, 12, 145
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/NewBookWizard.tsx", "TypeScript JSX", 0, 0, 0, 0, 613, 0, 23, 636
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/NewCategoryFromLibraryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 79, 0, 6, 85
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/NewCategoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, -1, 0, 1, 0
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/PrepareCategoryPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 1, 3, 75
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/PublishPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, -428, -1, -32, -461
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/PublishSequencePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 866, 2, 36, 904
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/SeoPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, -438, -1, -32, -471
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/SettingsUI.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 2, 54
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/TranslationEditorModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 530, 0, 25, 555
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/TranslationsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, -778, -1, -55, -834
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/WordPressPushPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 10, -2, 35
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/WordPressSequencePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 31
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/generated-types.ts", "TypeScript", 0, 0, 184, 0, 0, 56, 0, 240
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/package-lock.json", "JSON", 0, 0, 0, 100, 0, 0, 0, 100
"Total", "-", 30, 369, 184, 100, 2860, 175, 113, 3831
