"filename", "language", "Python", "TypeScript JSX", "PostCSS", "JavaScript", "Markdown", "JSON with Comments", "JSON", "XML", "TypeScript", "pip requirements", "comment", "blank", "total"
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/globals.css", "PostCSS", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/layout.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/page.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/app/settings/page.tsx", "TypeScript JSX", 0, 621, 0, 0, 0, 0, 0, 0, 0, 0, 9, 52, 682
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/BulkPasteInput.tsx", "TypeScript JSX", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 82
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/CategorySidebar.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 66
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/CollapsibleSection.tsx", "TypeScript JSX", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/DeleteBookModal.tsx", "TypeScript JSX", 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 259
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/DeleteCategoryModal.tsx", "TypeScript JSX", 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 245
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/GeneratePanel.tsx", "TypeScript JSX", 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27, 355
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/NewCategoryModal.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 105
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/PublishPanel.tsx", "TypeScript JSX", 0, 477, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37, 515
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/ReviewPanel.tsx", "TypeScript JSX", 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 321
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/SeoPanel.tsx", "TypeScript JSX", 0, 449, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33, 483
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/TabbedSection.tsx", "TypeScript JSX", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 96
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/TemplateField.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 98
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/ThemeToggle.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/TranslationsPanel.tsx", "TypeScript JSX", 0, 778, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55, 834
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/components/WordPressPushPanel.tsx", "TypeScript JSX", 0, 526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 571
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/account.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/books.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/categories.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 9, 50
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/generation.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"/home/davidg/Developer/projects/coloring-book-gen2/frontend/lib/api/promptDefaults.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
